customer_id;fisrt_name;second_name;gender;date_of_birth;city;state;occupation;customer_segment;annual_income;join_date
C00001;David;Smith;Male;09/10/1982;Charlotte;North Carolina;Retired;SME;988416,79;15/04/2021
C00002;Matthew;Davis;Male;07/10/1983;Boston;Massachusetts;Salaried;Premium;457149,28;06/04/2022
C00003;Daniel;Jones;Male;27/11/1989;Columbus;Ohio;Retired;Retail;378907,24;06/03/2026
C00004;David;Moore;Male;13/08/1970;Chicago;Illinois;Salaried;Retail;299085,16;16/07/2021
C00005;Sophia;Jackson;Female;07/02/1977;San Jose;California;Freelancer;SME;775436,07;23/02/2023
C00006;Grace;Johnson;Female;08/03/1976;Denver;Colorado;Business Owner;Corporate;1125600,83;17/06/2020
C00007;James;Williams;Male;03/08/1992;Austin;Texas;Student;Corporate;1455184,28;13/04/2022
C00008;Charlotte;Davis;Female;09/09/1989;Phoenix;Arizona;Salaried;Wealth;2553362,76;17/04/2021
C00009;Charles;Martin;Male;01/08/1970;Nashville;Tennessee;Freelancer;Wealth;2148005,16;07/05/2021
C00010;Emily;Moore;Female;05/04/1998;Columbus;Ohio;Self Employed;Retail;531020,66;26/08/2018
C00011;Joseph;Moore;Male;03/02/1996;Phoenix;Arizona;Business Owner;Corporate;1008279,67;02/12/2023
C00012;Grace;Davis;Female;18/04/1987;Boston;Massachusetts;Retired;Corporate;1816740,66;24/01/2023
C00013;Anthony;Jackson;Male;03/04/1975;Dallas;Texas;Freelancer;Retail;492981,83;28/01/2025
C00014;Matthew;Smith;Male;02/02/1974;Chicago;Illinois;Retired;SME;364064,61;26/06/2019
C00015;Mia;Wilson;Female;08/08/1996;San Diego;California;Student;Corporate;1392806,14;11/08/2022
C00016;Christopher;Rodriguez;Male;21/11/1963;San Antonio;Texas;Self Employed;Wealth;703854,09;19/02/2020
C00017;Robert;Miller;Male;14/03/1988;San Jose;California;Salaried;Retail;334054,67;25/04/2025
